行ID	話者	文	音声記号列	読み	出どころ
c806-1		事故のすぐ近くにいた実況の担当は、落ち着いて避難の案内を続けた。	じ'この/す'ぐ/ち'かくに/いた'/じっきょーの/たんとーわ、おちついて/ひ'なんの/あんな'いを/つずけた'。	じこのすぐちかくにいたじっきょーのたんとーわ、おちついてひなんのあんないをつずけた。	auto
c806-2		救護の人を手伝い、医療の応援も呼んだ。	きゅ'ーごの/ひとを/てつだ'い、い'りょーの/おーえんも/よんだ'。	きゅーごのひとをてつだい、いりょーのおーえんもよんだ。	auto
c807-1		空港の車からは、けが人を包む黄色の毛布が配られた。	くーこーの/くるまから'わ、けがにんを/つつ'む/きいろの/も'ーふが/くばられた'。	くーこーのくるまからわ、けがにんをつつむきいろのもーふがくばられた。	auto
c807-2		観客はボックス席の青と赤の幕を外して、けがをした人の手当てに使った。	かんきゃくわ/ぼっくす'せきの/あ'おと/あ'かの/まく'を/はずして、けがをした'/ひとの/て'あてに/つかった'。	かんきゃくわぼっくすせきのあおとあかのまくをはずして、けがをしたひとのてあてにつかった。	auto
c808-1		携帯電話は、15分から20分ほど、つながりにくかった。	けーたいで'んわわ、じゅーご'ふんから/にじゅっぷんほど、つながりにく'かった。	けーたいでんわわ、じゅーごふんからにじゅっぷんほど、つながりにくかった。	auto
c808-2		救護の連絡は無線だったので、影響は無かったという。	きゅ'ーごの/れんらくわ/むせんだ'ったので、えーきょーわ/な'かったと/いう。	きゅーごのれんらくわむせんだったので、えーきょーわなかったという。	auto
c809-1	q	備えは、あったの？	そなえ'わ、あ'ったの？	そなえわ、あったの？	auto
c809-2		あった。事故の約3か月半前、2011年6月2日。	あ'った。じ'この/や'く/さんか'げつ/はんま'え、にせんじゅーいち'ねん/ろくがつ'/ふつか。	あった。じこのやくさんかげつはんまえ、にせんじゅーいちねんろくがつふつか。	auto
c809-3		主催の団体やFAA、地元の消防・警察・病院などが、大事故の対応を練習していた。	しゅさいの/だんたいや/えふえーえ'ー、じもとの/しょーぼー/けーさつ/びょーいんな'どが、だい'じこの/たいおーを/れんしゅーしていた'。	しゅさいのだんたいやえふえーえー、じもとのしょーぼーけーさつびょーいんなどが、だいじこのたいおーをれんしゅーしていた。	auto
c810-1		集まって話し合いながら確かめる、机上訓練だ。報告書によると、想定はこうだった。	あつま'って/はなしあいな'がら/たしかめ'る、きじょーく'んれんだ。ほーこくしょによる'と、そーてーわ/こ'ーだった。	あつまってはなしあいながらたしかめる、きじょーくんれんだ。ほーこくしょによると、そーてーわこーだった。	auto
c810-2		訓練の想定は亡くなる人23人、負傷46人	く'んれんの/そーてーわ/なくなる/ひと/にじゅーさんに'ん、ふしょー/よんじゅーろくに'ん。	くんれんのそーてーわなくなるひとにじゅーさんにん、ふしょーよんじゅーろくにん。	auto
c811-1		この訓練を受けて、決めごとが1つ生まれた。大事故のときは、州道395号を止める。	この/く'んれんを/う'けて、きめごとが/ひと'つ/うまれた'。だい'じこのときわ、しゅーどー/さんびゃくきゅーじゅーご'ごーを/とめる。	このくんれんをうけて、きめごとがひとつうまれた。だいじこのときわ、しゅーどーさんびゃくきゅーじゅーごごーをとめる。	auto
c811-2		救急車が何台も、行き来しやすくするためだ。	きゅうきゅ'うしゃが/な'んだいも、いききしやすくするため'だ。	きゅうきゅうしゃがなんだいも、いききしやすくするためだ。	auto
c812-1	q	道を空けるんだ。	みちを/あける'んだ。	みちをあけるんだ。	auto
c812-2		事故の日、その決めごとは、実際に使われた。	じこの'ひ、その/きめごとわ、じっさいに/つかわれた'。	じこのひ、そのきめごとわ、じっさいにつかわれた。	auto
c813-1		同じ機関の多くは、5月25日にも、リノの別の空港で大きな訓練をしていた。	おなじ/き'かんの/お'ーくわ、ご'がつ/にじゅーご'にちにも、り'のの/べつの/くーこーで/お'ーきな/く'んれんをしていた。	おなじきかんのおーくわ、ごがつにじゅーごにちにも、りののべつのくーこーでおーきなくんれんをしていた。	auto
c814-1	q	燃料の車は？	ねんりょ'ーの/くるまわ？	ねんりょーのくるまわ？	auto
c814-2		ピットの近くに止まっていた燃料車に、破片は当たらなかった。	ぴ'っとの/ち'かくに/とまっていた'/ねんりょ'ーしゃに、はへんわ/あたらな'かった。	ぴっとのちかくにとまっていたねんりょーしゃに、はへんわあたらなかった。	auto
c815-1		ただ、報告書は、ここにひとこと足している。	た'だ、ほーこくしょわ、ここに/ひと'こと/たしている'。	ただ、ほーこくしょわ、ここにひとことたしている。	auto
c815-2		燃料車は、たやすく別の結果になり得た	ねんりょ'ーしゃわ、たやす'く/べつの/けっかに/なりえ'た。	ねんりょーしゃわ、たやすくべつのけっかになりえた。	auto
c816-1		観客の前の柵は、低い金属の柵と、幕を付けたパイプだった。	かんきゃくの/ま'えの/さく'わ、ひく'い/き'んぞくの/さく'と、まく'を/つ'けた/ぱいぷだ'った。	かんきゃくのまえのさくわ、ひくいきんぞくのさくと、まくをつけたぱいぷだった。	auto
c816-2		報告書は、今回のけがに柵の種類は関わらなかったとみる。	ほーこくしょわ、こ'んかいの/けがに/さく'の/しゅ'るいわ/かかわら'なかったと/み'る。	ほーこくしょわ、こんかいのけがにさくのしゅるいわかかわらなかったとみる。	auto
c816-3		もっと軽い事故なら、頑丈な柵が人を守る助けになる、とも結論した。	も'っと/かるい/じ'こなら、がんじょーな/さく'が/ひとを/まも'る/たすけ'に/な'る、と'も/けつろんした'。	もっとかるいじこなら、がんじょーなさくがひとをまもるたすけになる、ともけつろんした。	auto
c817-1	q	距離の決まりは、どうだったの？	きょ'りの/きまりわ、ど'ーだったの？	きょりのきまりわ、どーだったの？	auto
c817-2		FAAの手引きは2つ。「命令」と、助言の文書「通達」で、数字が食い違っていた。	えふえーえ'ーの/て'びきわ/ふたつ'。めーれーと、じょげんの/ぶんしょつ'ーたつで、すーじが/くいちが'っていた。	えふえーえーのてびきわふたつ。めーれーと、じょげんのぶんしょつーたつで、すーじがくいちがっていた。	auto
c818-1		命令は、どの部門もショーラインから観客席まで約152メートル（500フィート）。	めーれーわ、ど'の/ぶ'もんも/しょーら'いんから/かんきゃく'せきまで/やくひゃくごじゅーにめ'ーとる、ごひゃくふぃ'ーと。	めーれーわ、どのぶもんもしょーらいんからかんきゃくせきまでやくひゃくごじゅーにめーとる、ごひゃくふぃーと。	auto
c818-2		通達は、無制限のような速い部門なら、約305メートル（1,000フィート）。	つーたつわ、むせ'ーげんのよーな/はや'い/ぶ'もんなら、や'く/さんびゃくごめ'ーとる、せんふぃ'ーと。	つーたつわ、むせーげんのよーなはやいぶもんなら、やくさんびゃくごめーとる、せんふぃーと。	auto
c819-1		通達は、1990年から一度も改められていなかった。	つーたつわ、せんきゅーひゃくきゅーじゅ'ーねんから/いち'ども/あらためら'れていなかった。	つーたつわ、せんきゅーひゃくきゅーじゅーねんからいちどもあらためられていなかった。	auto
c819-2		ボックス席の端は約266メートル、ピットの端は約228メートル。	ぼっくす'せきの/はしわ/や'く/にひゃくろくじゅーろくめ'ーとる、ぴ'っとの/はしわ/や'く/にひゃくにじゅーはちめ'ーとる。	ぼっくすせきのはしわやくにひゃくろくじゅーろくめーとる、ぴっとのはしわやくにひゃくにじゅーはちめーとる。	auto
c820-1		NTSBによれば、どちらも命令の数は満たし、通達の数には届かない。	えぬてぃーえすび'ーに/よれ'ば、ど'ちらも/めーれーの/か'ずわ/みた'し、つーたつの/か'ずにわ/とどか'ない。	えぬてぃーえすびーによれば、どちらもめーれーのかずわみたし、つーたつのかずにわとどかない。	auto
c820-2	q	つまり、どちらに従うかで、答えが変わる？	つ'まり、ど'ちらに/したがう'かで、こた'えが/かわる？	つまり、どちらにしたがうかで、こたえがかわる？	auto
c821-1		そう。NTSBは、2つの資料の誤りと食い違いを直すよう、FAAに求めた。	そー。えぬてぃーえすび'ーわ、ふたつ'の/し'りょーの/あやまり'と/くいちがいを/なお'すよー、えふえーえ'ーに/もと'めた。	そー。えぬてぃーえすびーわ、ふたつのしりょーのあやまりとくいちがいをなおすよー、えふえーえーにもとめた。	auto
c822-1		その求めが片づくまでに、どれだけかかったか。	その/もとめ'が/かたず'くまでに、ど'れだけ/かか'ったか。	そのもとめがかたずくまでに、どれだけかかったか。	auto
c822-2		それは、最後の章で。	それわ、さ'いごの/しょ'ーで。	それわ、さいごのしょーで。	auto
c901-1		2012年1月10日、NTSBは、調査のための公聴会を開いた。	にせんじゅーに'ねん/いちがつ'/とーか、えぬてぃーえすび'ーわ、ちょ'ーさのための/こーちょ'ーかいを/ひら'いた。	にせんじゅーにねんいちがつとーか、えぬてぃーえすびーわ、ちょーさのためのこーちょーかいをひらいた。	auto
c901-2		題は、エアレースと航空ショーの安全だ。	だ'いわ、えあれ'ーすと/こーく'ーしょーの/あんぜんだ。	だいわ、えあれーすとこーくーしょーのあんぜんだ。	auto
c902-1	q	それで、何が変わったの？	それで、な'にが/かわった'の？	それで、なにがかわったの？	auto
c902-2		2012年4月10日、NTSBは安全勧告を10件出した。	にせんじゅーに'ねん/しがつ'/とーか、えぬてぃーえすび'ーわ/あんぜんか'んこくを/じゅ'っけん/だ'した。	にせんじゅーにねんしがつとーか、えぬてぃーえすびーわあんぜんかんこくをじゅっけんだした。	auto
c902-3		宛先は、主催の団体、無制限クラスの団体、そしてFAAだ。	あてさきわ、しゅさいの/だんたい、むせーげんく'らすの/だんたい、そして/えふえーえ'ーだ。	あてさきわ、しゅさいのだんたい、むせーげんくらすのだんたい、そしてえふえーえーだ。	auto
c903-1		安全勧告は、同じ事故を防ぐために、こう変えてほしいという正式な求めだ。	あんぜんか'んこくわ、おなじ/じ'こを/ふせ'ぐために、こー/かえてほしいと/いう/せーしきな/もとめ'だ。	あんぜんかんこくわ、おなじじこをふせぐために、こーかえてほしいというせーしきなもとめだ。	auto
c903-2		NTSBは対応を見届け、区切りがつくと、勧告を「閉じる」。	えぬてぃーえすび'ーわ/たいおーを/みとどけ、くぎり'が/つ'くと、かんこくを/とじ'る。	えぬてぃーえすびーわたいおーをみとどけ、くぎりがつくと、かんこくをとじる。	auto
c904-1		主催の団体は、コースと選手の位置を、観客席から遠い北へ移した。	しゅさいの/だんたいわ、こ'ーすと/せ'んしゅの/い'ちを、かんきゃく'せきから/とーい/きたえ/うつ'した。	しゅさいのだんたいわ、こーすとせんしゅのいちを、かんきゃくせきからとーいきたえうつした。	auto
c904-2		大きな燃料車は、主な観客席から約2.4キロ（1.5マイル）の場所へ。	お'ーきな/ねんりょ'ーしゃわ、お'もな/かんきゃく'せきから/や'く/にーてんよ'んきろ、いってんごま'いるの/ばしょえ。	おーきなねんりょーしゃわ、おもなかんきゃくせきからやくにーてんよんきろ、いってんごまいるのばしょえ。	auto
c904-3		観客席の前には、より頑丈な柵を並べるとした。	かんきゃく'せきの/ま'えにわ、よ'り/がんじょーな/さく'を/ならべる'とした。	かんきゃくせきのまえにわ、よりがんじょーなさくをならべるとした。	auto
c905-1	q	観客席から、遠ざけたんだ。	かんきゃく'せきから、とーざ'けたんだ。	かんきゃくせきから、とーざけたんだ。	auto
c905-2		無制限クラスの団体は、検査の用紙に、指摘と直した中身を書く欄を作った。	むせーげんく'らすの/だんたいわ、け'んさの/よーしに、してきと/なお'した/なか'みを/か'く/ら'んを/つく'った。	むせーげんくらすのだんたいわ、けんさのよーしに、してきとなおしたなかみをかくらんをつくった。	auto
c905-3		書面と再検査が済むまで、コースには出さない。	しょめんと/さ'いけんさが/す'むまで、こ'ーすにわ/ださ'ない。	しょめんとさいけんさがすむまで、こーすにわださない。	auto
c906-1		選手には、Gに備える訓練。予選の前に、コースを4周から6周飛ぶ決まりもできた。	せ'んしゅにわ、じ'ー/に/そなえ'る/く'んれん。よせんの/ま'えに、こ'ーすを/よんしゅーから'/ろくしゅー/とぶ/きまりも/で'きた。	せんしゅにわ、じーにそなえるくんれん。よせんのまえに、こーすをよんしゅーからろくしゅーとぶきまりもできた。	auto
c907-1		体を締めつけてGに耐える服、Gスーツは、義務にはならなかった。	からだを/しめつ'けて/じ'ー/に/たえ'る/ふく'、じ'ー/す'ーつわ、ぎ'むにわ/なら'なかった。	からだをしめつけてじーにたえるふく、じーすーつわ、ぎむにわならなかった。	auto
c907-2		コースのGはふつう3から4G。一瞬の強いGには間に合わない、と判断された。	こ'ーすの/じ'ー/わ/ふつー/さんから'/よ'ん/じ'ー。いっしゅんの/つよ'い/じ'ー/に'わ/まにあわ'ない、と/はんだんされた'。	こーすのじーわふつーさんからよんじー。いっしゅんのつよいじーにわまにあわない、とはんだんされた。	auto
c908-1	q	改造した機体は？	かいぞーした'/きたいわ？	かいぞーしたきたいわ？	auto
c908-2		大きな改造をした機体は、技術の評価を受けることが、出場の条件になった。	お'ーきな/かいぞーをした'/きたいわ、ぎ'じゅつの/ひょ'ーかを/うけ'ることが、しゅつじょーの/じょーけ'んに/な'った。	おーきなかいぞーをしたきたいわ、ぎじゅつのひょーかをうけることが、しゅつじょーのじょーけんになった。	auto
c908-3		無制限クラスの団体は、機体の仕様の決まりを、全部書き直した。	むせーげんく'らすの/だんたいわ、きたいの/しよーの/きまりを、ぜ'んぶ/かきなお'した。	むせーげんくらすのだんたいわ、きたいのしよーのきまりを、ぜんぶかきなおした。	auto
c909-1		それまで、一から作った機体には、フラッターも確かめる厳しい試験が求められた。	それま'で、いち'から/つく'った/きたいに'わ、ふら'ったーも/たしかめ'る/きびし'い/しけ'んが/もとめら'れた。	それまで、いちからつくったきたいにわ、ふらったーもたしかめるきびしいしけんがもとめられた。	auto
c909-2		昔の戦闘機を改造した機体は、その外にいた。	むかしの/せんと'ーきを/かいぞーした'/きたいわ、その/そ'とに/いた'。	むかしのせんとーきをかいぞーしたきたいわ、そのそとにいた。	auto
c910-1		FAAも事故の3か月後、レース機は毎年の計画書を基地の事務所へ出す決まりにした。	えふえーえ'ーも/じ'この/さんかげつご'、れーす'きわ/まいとしの/けーかくしょを/き'ちの/じむ'しょえ/だ'す/きまりにした'。	えふえーえーもじこのさんかげつご、れーすきわまいとしのけーかくしょをきちのじむしょえだすきまりにした。	auto
c911-1		10件のうち9件は、2013年までに「受け入れられる対応」として閉じた。	じゅ'っけんのうち/きゅ'ーけんわ、にせんじゅーさ'んねんまでに/うけいれられ'る/たいおーとして/と'じた。	じゅっけんのうちきゅーけんわ、にせんじゅーさんねんまでにうけいれられるたいおーとしてとじた。	auto
c911-2	q	つまり、ほとんどは早く片づいた？	つ'まり、ほと'んどわ/は'やく/かたず'いた？	つまり、ほとんどわはやくかたずいた？	auto
c912-1		そう。残る1件が、2つの資料の食い違いだった。	そー。のこ'る/い'っけんが、ふたつ'の/し'りょーの/くいちがいだ'った。	そー。のこるいっけんが、ふたつのしりょーのくいちがいだった。	auto
c912-2		FAAへの求めは、命令と通達の誤りと食い違いを、直すこと。	えふえーえ'ーえの/もとめ'わ、めーれーと/つーたつの/あやまり'と/くいちがいを、なお'すこと。	えふえーえーえのもとめわ、めーれーとつーたつのあやまりとくいちがいを、なおすこと。	auto
c913-1		NTSBは3回、FAAの返事を受けて、「返事は良いが、まだ閉じない」とした。	えぬてぃーえすび'ーわ/さんか'い、えふえーえ'ーの/へんじ'を/う'けて、へんじ'わ/よ'いが、ま'だ/とじ'ないとした。	えぬてぃーえすびーわさんかい、えふえーえーのへんじをうけて、へんじわよいが、まだとじないとした。	auto
c913-2		2020年2月、FAAは命令を改め、コースの設計の基準を新しくした。	にせんにじゅ'ーねん/にがつ'、えふえーえ'ーわ/めーれーを/あらた'め、こ'ーすの/せっけーの/きじゅんを/あたらし'くした。	にせんにじゅーねんにがつ、えふえーえーわめーれーをあらため、こーすのせっけーのきじゅんをあたらしくした。	auto
c914-1		そして通達のほうは、直されなかった。	そして/つーたつのほ'ーわ、なおされ'なかった。	そしてつーたつのほーわ、なおされなかった。	auto
c914-2		通達は直さず、2020年11月3日に廃止	つーたつわ/なお'さず、にせんにじゅ'ーねん/じゅーいちがつ'/みっかに/はいし。	つーたつわなおさず、にせんにじゅーねんじゅーいちがつみっかにはいし。	auto
c915-1		通達には、守らせる言い方が入っていた。	つーたつに'わ、まもらせ'る/いーかたが/は'いっていた。	つーたつにわ、まもらせるいーかたがはいっていた。	auto
c915-2		新しい決まりで、その書き方は禁じられた。	あたらし'い/きまりで、その/かきか'たわ/きんじら'れた。	あたらしいきまりで、そのかきかたわきんじられた。	auto
c916-1		NTSBがこの勧告を閉じたのは、2021年7月13日。	えぬてぃーえすび'ーが/この/かんこくを/と'じたのわ、にせんにじゅーいち'ねん/しちがつ'/じゅーさ'んにち。	えぬてぃーえすびーがこのかんこくをとじたのわ、にせんにじゅーいちねんしちがつじゅーさんにち。	auto
c916-2		分類は、「別の手で受け入れられる対応」。事故から、約10年がたっていた。	ぶんるいわ、べつの/て'で/うけいれられ'る/たいおー。じ'こから、や'く/じゅ'ーねんが/た'っていた。	ぶんるいわ、べつのてでうけいれられるたいおー。じこから、やくじゅーねんがたっていた。	auto
c916-3	q	そんなに、かかったんだ。	そんなに'、かか'ったんだ。	そんなに、かかったんだ。	auto
c917-1		大会は翌年もリノで開かれ、2024年5月、移転が発表された。	たいかいわ/よくねんも/り'ので/ひらかれ、にせんにじゅーよ'ねん/ご'がつ、いてんが/はっぴょーされた'。	たいかいわよくねんもりのでひらかれ、にせんにじゅーよねんごがつ、いてんがはっぴょーされた。	auto
c917-2		2025年からは、ニューメキシコ州のロズウェルで開かれている。	にせんにじゅーご'ねんからわ、にゅーめきしこ'しゅーの/ろ'ずうぇるで/ひらかれている'。	にせんにじゅーごねんからわ、にゅーめきしこしゅーのろずうぇるでひらかれている。	auto
c918-1		3つの問いの答えは、先に折れたリンク、ゆるんだねじ、食い違った2つの資料。	みっつ'の/といの/こた'えわ、さきに/お'れた/り'んく、ゆる'んだ/ね'じ、くいちが'った/ふたつ'の/し'りょー。	みっつのといのこたえわ、さきにおれたりんく、ゆるんだねじ、くいちがったふたつのしりょー。	auto
c918-2		26年以上とみられるナット。4日前の「ねじが短すぎる」。記録簿の「終えた」。	にじゅーろく'ねん/い'じょーと/みられ'る/な'っと。よっかま'えの/ね'じが/み'じか/すぎ'る。きろく'ぼの/おえた'。	にじゅーろくねんいじょーとみられるなっと。よっかまえのねじがみじかすぎる。きろくぼのおえた。	auto
c918-3		この3つは、事故の前に、書類の上か、整備の手の届く所にあった手がかりだ。	この/みっつ'わ、じ'この/ま'えに、しょるいのうえ'か、せ'ーびの/て'の/とど'くところに/あ'った/てが'かりだ。	このみっつわ、じこのまえに、しょるいのうえか、せーびのてのとどくところにあったてがかりだ。	auto
c919-1	q	つまり、手がかりは前からあった？	つ'まり、てが'かりわ/ま'えから/あ'った？	つまり、てがかりわまえからあった？	auto
c919-2		そう。報告書も、傷んだ部品を見つけて替える機会はあった、と書いている。	そー。ほーこくしょも、いた'んだ/ぶひんを/みつけて/かえる/き'かいわ/あ'った、と/か'いている。	そー。ほーこくしょも、いたんだぶひんをみつけてかえるきかいわあった、とかいている。	auto
c920-1		この事故は、どこで防げたと思いますか。	この/じ'こわ、ど'こで/ふせ'げたと/おもいま'すか。	このじこわ、どこでふせげたとおもいますか。	auto
c920-2		あなたが大会を開く立場だったら、大きく改造した機体に、何を求めましたか。	あな'たが/たいかいを/ひら'く/た'ちばだったら、お'ーきく/かいぞーした'/きたいに、な'にを/もとめま'したか。	あなたがたいかいをひらくたちばだったら、おーきくかいぞーしたきたいに、なにをもとめましたか。	auto
c920-3		よければ、コメントで教えてください。	よ'ければ、こめんとで/おしえてくださ'い。	よければ、こめんとでおしえてください。	auto
ed01-1		ご視聴ありがとうございました。	ごしちょー/あり'がとー/ございま'した。	ごしちょーありがとーございました。	auto
ed01-2		この動画が少しでも気に入れば、高評価と	この/どーがが/すこ'しでも/きにい'れば、こ'ーひょーかと。	このどーががすこしでもきにいれば、こーひょーかと。	auto
ed01-3		チャンネル登録をお願いします。	ちゃんねると'ーろくを/おねがいしま'す。	ちゃんねるとーろくをおねがいします。	auto
